
AMDuProfPcm Report

System:,Family(0x17) Model(0x1) Stepping(0x2)
Number of sockets:,2
Number of nodes(die):,8
Number of core complexes(CCX):,16
Number of physical cores:,48
Number of logical cores (threads) :,96
SMT Enabled:,True
Number of logical cores sharing L3:,6

CPU Topology:
Socket, Die, CCX, Core(s)
0,0,0, 0 1 2 48 49 50
0,0,1, 3 4 5 51 52 53
0,1,2, 6 7 8 54 55 56
0,1,3, 9 10 11 57 58 59
0,2,4, 12 13 14 60 61 62
0,2,5, 15 16 17 63 64 65
0,3,6, 18 19 20 66 67 68
0,3,7, 21 22 23 69 70 71
1,4,8, 24 25 26 72 73 74
1,4,9, 27 28 29 75 76 77
1,5,10, 30 31 32 78 79 80
1,5,11, 33 34 35 81 82 83
1,6,12, 36 37 38 84 85 86
1,6,13, 39 40 41 87 88 89
1,7,14, 42 43 44 90 91 92
1,7,15, 45 46 47 93 94 95

P0 state frequency (MHz):,2000.000000
Measured DF Frequency (MHz):,1199.984741
Sampling interval (ms):,1000
Version:,3.2.228

IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Core-0 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-1 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-2 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-48 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-49 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-50 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,CCX-0(die-0 pkg-0),,,
Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access (pti),L3 Miss (pti),Ave L3 Miss Latency,
0.22,1332.45,0.09,10.75,531.65,40.38,10.34,27.03,1.93,28.46,4.94,22.45,1.07,20.67,10.83,8.02,0.86,0.50,2989.28,0.00,554.81,474.29,187.34,108.88,44.03,29.23,137.17,72.61,40.65,23.91,49.26,36.13,7.14,5.32,0.66,1333.03,0.69,1.45,534.91,66.52,18.37,27.74,18.87,45.02,11.07,19.73,14.22,19.29,7.16,6.72,4.65,0.73,1332.40,0.45,2.24,550.72,96.41,43.90,35.27,15.57,49.02,10.63,24.63,13.76,50.02,35.01,11.95,1.82,99.94,2999.77,2.09,0.48,429.26,35.93,15.33,16.95,3.34,4.21,0.26,1.09,2.86,30.16,16.15,13.35,0.48,0.20,1332.53,0.07,14.73,541.53,66.82,38.57,18.93,5.26,51.76,21.36,26.32,4.08,44.74,30.55,10.63,1.18,1.45,0.75,266.03,
0.32,1332.73,0.08,12.48,546.88,42.49,10.77,29.02,1.25,21.11,1.67,18.72,0.71,41.71,24.94,13.99,0.54,0.41,2991.75,0.00,554.08,476.90,189.12,112.20,44.41,27.23,128.86,68.03,38.51,22.32,49.33,37.01,6.81,4.90,0.44,1332.88,0.35,2.83,542.77,67.56,20.08,27.02,18.88,43.01,8.55,20.09,14.37,25.29,12.74,7.13,4.51,0.74,1332.58,0.45,2.23,530.72,87.10,35.57,35.23,14.87,38.63,2.78,22.50,13.34,53.03,37.28,12.93,1.53,100.00,2999.76,2.09,0.48,429.38,36.15,15.62,16.86,3.36,4.26,0.26,1.14,2.86,31.56,17.07,13.79,0.50,0.14,1331.76,0.03,32.32,563.98,71.21,39.27,19.86,7.57,45.26,13.52,24.96,6.78,45.16,30.81,11.03,0.78,1.33,0.69,265.55,
0.12,1333.41,0.03,29.71,507.85,39.86,16.97,19.10,1.57,24.11,1.72,21.36,1.04,24.91,14.98,8.43,0.54,0.43,2988.46,0.00,527.81,482.60,183.61,109.62,44.12,25.57,132.54,72.89,39.28,20.38,50.79,37.46,7.46,5.19,0.70,1333.09,0.67,1.49,557.62,69.74,22.40,26.74,18.70,47.90,13.06,20.82,14.02,23.90,11.17,7.22,4.68,0.74,1332.12,0.46,2.17,527.50,85.03,34.59,34.42,14.89,38.05,1.86,22.96,13.23,48.98,33.70,12.38,1.66,100.00,2999.18,2.06,0.49,431.53,36.24,16.31,16.29,3.36,4.09,0.29,1.03,2.77,30.92,17.38,12.80,0.59,0.13,1332.26,0.10,10.35,552.53,60.45,20.24,29.37,7.10,64.98,33.81,25.29,5.88,46.41,31.69,11.27,1.22,1.40,0.76,268.36,
0.18,1331.19,0.03,33.37,527.97,58.48,22.22,18.05,15.73,33.31,2.58,19.44,11.29,61.93,39.22,16.02,4.44,0.44,2991.22,0.01,124.08,564.26,183.96,105.15,44.65,27.76,124.69,64.98,37.34,22.37,56.82,43.83,6.93,5.39,0.46,1332.94,0.66,1.51,565.70,69.49,23.29,26.63,17.59,43.90,10.90,19.80,13.20,17.89,6.54,6.31,4.39,0.74,1332.94,0.44,2.26,542.82,89.37,39.81,32.87,15.26,38.64,2.16,23.08,13.41,51.03,35.00,12.86,1.86,100.00,3000.00,2.38,0.42,434.59,32.12,20.35,8.39,3.11,3.92,0.22,1.12,2.58,30.23,16.72,12.77,0.53,0.13,1332.13,0.09,11.10,547.80,55.67,18.16,25.82,7.47,71.36,37.62,27.40,6.34,49.24,34.80,11.10,1.13,1.55,0.80,274.11,
0.19,1333.07,0.01,80.65,515.17,40.10,17.86,18.20,2.16,25.02,3.85,19.76,1.40,29.53,18.73,9.08,0.75,0.51,2990.56,0.00,565.65,482.74,184.34,109.75,42.98,26.27,129.51,69.07,39.35,21.08,50.22,37.21,7.17,5.19,0.84,1333.09,0.73,1.37,543.32,61.53,16.52,25.81,17.67,40.54,8.53,18.64,13.37,20.70,9.13,6.53,4.30,0.75,1332.86,0.41,2.41,530.42,87.76,35.79,34.73,16.03,53.84,14.33,25.42,14.09,50.08,35.51,11.57,1.94,100.00,3000.00,2.14,0.47,427.64,30.47,12.79,14.42,2.96,3.64,0.21,0.96,2.48,25.94,13.99,11.30,0.48,0.16,1332.21,0.06,16.47,555.03,61.90,26.01,24.57,7.25,41.64,11.69,23.64,6.31,48.02,33.50,11.28,0.94,1.28,0.71,275.77,
0.26,1331.73,0.07,14.22,531.80,44.71,11.52,29.51,2.28,29.42,5.94,22.23,1.25,20.51,11.84,6.70,1.04,0.46,2989.74,0.00,687.79,497.95,184.96,105.99,47.37,26.43,96.85,39.50,36.35,20.99,65.85,47.11,11.88,5.43,0.47,1332.95,0.75,1.34,547.58,59.80,16.15,25.08,17.00,36.50,5.87,18.03,12.61,20.08,7.96,6.93,4.39,0.76,1332.88,0.43,2.31,570.84,105.91,52.29,35.72,15.66,74.29,32.23,28.31,13.75,51.67,37.10,11.29,1.91,100.00,2999.73,2.07,0.48,431.59,30.91,12.26,15.35,2.93,3.54,0.22,0.86,2.46,23.70,15.28,7.81,0.47,0.14,1330.85,0.09,11.57,567.95,72.54,35.50,27.51,5.88,66.72,37.13,24.87,4.72,44.92,29.99,11.84,1.16,1.26,0.76,288.14,
0.35,1332.78,0.10,10.12,526.10,39.88,9.74,27.49,1.53,25.89,3.25,21.99,0.64,28.56,17.32,9.02,0.89,0.40,2991.05,0.00,563.46,483.34,182.04,108.91,43.08,25.12,95.53,39.53,35.90,20.10,69.34,51.05,11.99,5.02,0.70,1333.10,0.93,1.07,528.74,46.77,6.19,23.11,16.24,33.70,3.89,17.62,12.19,13.98,3.36,5.98,4.04,0.80,1333.14,0.36,2.74,575.41,106.24,51.95,36.50,15.64,44.16,6.22,24.08,13.86,50.93,35.54,12.36,1.78,100.00,3000.00,2.05,0.49,433.33,34.08,15.65,15.06,3.02,3.74,0.24,0.95,2.54,25.69,17.34,7.74,0.48,0.15,1332.11,0.12,8.15,660.03,137.30,85.78,29.39,16.74,60.81,22.54,23.99,14.28,49.12,31.81,12.53,2.47,1.37,0.81,278.89,
0.25,1332.50,0.06,16.06,538.47,55.19,11.62,26.81,15.24,30.38,2.71,16.87,10.80,59.54,36.60,15.86,4.45,0.41,2993.38,0.00,632.40,470.44,182.10,108.40,42.91,25.65,93.94,39.23,34.01,20.70,77.22,57.96,13.29,4.95,0.53,1333.05,0.34,2.92,531.54,48.34,7.68,22.80,16.63,38.01,7.71,17.93,12.37,18.03,7.17,5.90,4.26,0.76,1332.78,0.43,2.35,581.61,109.69,55.49,36.43,15.38,39.42,3.32,22.59,13.51,54.08,38.10,12.86,1.87,100.00,3000.00,2.06,0.49,428.80,34.07,14.43,16.19,3.10,3.79,0.23,0.93,2.62,25.77,17.64,7.50,0.48,0.20,1332.47,0.05,18.42,580.37,103.62,50.08,31.31,18.62,86.21,42.86,27.42,15.94,49.72,34.78,10.43,2.68,1.28,0.73,276.51,
0.23,1332.67,0.05,22.19,517.02,52.94,9.21,26.70,16.06,44.59,13.83,19.04,11.72,59.54,38.23,14.87,4.34,0.40,2991.75,0.00,634.95,469.67,182.87,109.74,43.24,25.26,93.38,39.20,34.20,19.98,82.31,61.96,13.45,5.28,0.76,1333.13,0.90,1.12,530.04,49.23,7.12,23.50,17.39,33.24,3.00,17.17,13.07,16.78,5.58,6.11,4.32,0.75,1332.69,0.39,2.57,535.40,89.30,37.01,35.21,15.54,63.63,23.45,26.61,13.58,54.95,40.22,11.38,1.97,100.00,3000.00,2.06,0.48,428.19,34.00,14.37,16.24,3.05,3.75,0.23,0.94,2.58,26.20,18.00,7.59,0.47,0.21,1332.57,0.14,7.15,629.98,125.45,71.78,30.53,18.58,83.53,37.90,29.91,15.73,49.99,35.08,10.15,2.85,1.27,0.73,271.40,
0.28,1332.59,0.06,15.59,516.50,48.90,14.84,30.57,2.02,27.73,5.53,20.80,1.40,21.00,12.14,7.32,0.62,0.43,2990.77,0.00,611.32,475.37,182.72,108.18,42.05,27.50,132.58,71.19,39.16,22.23,50.75,37.54,7.24,5.27,0.48,1332.98,0.92,1.09,526.83,46.34,5.66,23.16,16.28,33.52,3.45,17.75,12.32,13.18,2.99,5.65,3.96,0.81,1332.96,0.31,3.23,589.02,113.87,58.18,36.73,16.27,60.90,20.19,26.52,14.19,53.89,38.34,12.15,2.08,100.00,2999.75,2.08,0.48,429.58,34.12,14.98,15.68,3.13,3.86,0.22,0.91,2.73,29.73,13.72,15.35,0.41,0.25,1332.49,0.14,7.28,637.80,129.74,74.00,32.44,18.40,89.22,43.73,29.99,15.50,47.97,34.29,9.03,2.91,1.27,0.73,325.81,
