
AMDuProfPcm Report

System:,Family(0x17) Model(0x1) Stepping(0x2)
Number of sockets:,2
Number of nodes(die):,8
Number of core complexes(CCX):,16
Number of physical cores:,48
Number of logical cores (threads) :,96
SMT Enabled:,True
Number of logical cores sharing L3:,6

CPU Topology:
Socket, Die, CCX, Core(s)
0,0,0, 0 1 2 48 49 50
0,0,1, 3 4 5 51 52 53
0,1,2, 6 7 8 54 55 56
0,1,3, 9 10 11 57 58 59
0,2,4, 12 13 14 60 61 62
0,2,5, 15 16 17 63 64 65
0,3,6, 18 19 20 66 67 68
0,3,7, 21 22 23 69 70 71
1,4,8, 24 25 26 72 73 74
1,4,9, 27 28 29 75 76 77
1,5,10, 30 31 32 78 79 80
1,5,11, 33 34 35 81 82 83
1,6,12, 36 37 38 84 85 86
1,6,13, 39 40 41 87 88 89
1,7,14, 42 43 44 90 91 92
1,7,15, 45 46 47 93 94 95

P0 state frequency (MHz):,2000.000000
Measured DF Frequency (MHz):,697.542603
Sampling interval (ms):,1000
Version:,3.2.228

IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Core-0 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-1 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-2 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-48 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-49 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-50 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,CCX-0(die-0 pkg-0),,,
Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access (pti),L3 Miss (pti),Ave L3 Miss Latency,
0.38,1200.20,0.24,4.19,404.37,85.61,5.25,59.10,18.22,14.42,0.16,2.15,12.11,8.68,1.65,0.94,6.11,0.10,1200.85,0.27,3.71,520.03,65.48,18.81,25.15,17.46,13.54,0.11,1.90,11.53,9.26,1.67,1.76,5.94,8.96,1200.01,1.60,0.63,799.88,22.56,0.03,0.03,22.49,16.25,0.00,0.01,16.23,6.29,0.01,0.01,6.26,0.11,1197.15,0.09,10.93,514.49,77.10,25.36,27.61,18.68,14.08,0.02,1.67,12.38,9.98,1.47,2.34,6.30,0.09,1200.59,0.29,3.49,523.17,62.10,19.39,25.17,13.47,10.30,0.18,2.20,7.92,9.75,1.75,2.38,5.55,0.23,1199.15,0.01,100.05,516.40,51.95,4.16,25.10,21.62,34.56,1.58,16.56,16.41,13.08,1.52,5.98,5.21,0.62,0.11,468.18,
0.10,1198.27,0.29,3.42,538.18,57.13,20.83,12.05,21.36,17.42,0.13,1.98,15.30,8.87,1.85,0.94,6.06,0.10,1198.87,0.26,3.78,515.45,65.52,20.56,25.14,15.82,12.03,0.18,2.08,9.76,9.75,2.04,1.77,6.06,7.03,1199.96,0.01,69.85,514.05,82.33,26.40,29.02,22.18,25.49,4.81,4.79,15.89,15.21,4.71,3.34,6.29,0.09,1200.99,0.21,4.85,553.02,66.71,24.14,15.29,23.49,18.54,0.18,1.65,16.70,10.48,1.48,2.35,6.79,0.09,1198.73,0.28,3.54,523.26,62.83,17.10,25.53,15.94,11.60,0.11,1.66,9.82,10.33,1.75,2.38,6.12,0.28,1199.73,0.23,4.31,521.67,51.09,4.52,24.98,20.68,35.79,3.19,16.41,16.19,15.11,1.20,8.94,4.49,35.38,3.43,294.87,
0.41,1199.19,0.22,4.49,423.91,84.38,5.49,58.75,18.96,59.81,2.02,45.17,12.63,25.32,1.58,17.05,6.33,0.09,1198.54,0.23,4.32,529.93,54.75,18.92,13.33,18.85,14.09,0.02,1.95,12.12,10.10,1.63,1.86,6.73,0.39,1199.58,0.04,23.67,528.58,95.66,30.58,37.30,23.35,28.38,5.01,6.47,16.90,14.65,5.24,2.64,6.45,0.11,1196.61,0.15,6.49,525.78,74.59,18.79,27.04,24.51,24.90,2.48,5.05,17.36,17.29,7.41,3.22,7.15,0.08,1198.47,0.25,4.01,539.31,64.60,28.90,12.76,19.26,15.72,0.27,2.29,13.16,10.33,1.75,2.41,6.11,0.24,1199.51,0.25,4.03,518.06,49.82,3.77,25.45,19.54,34.06,2.31,16.70,15.06,16.00,1.87,9.17,4.49,22.81,4.74,401.84,
0.53,1199.77,0.57,1.75,417.66,121.35,5.83,64.39,49.05,78.07,2.80,45.84,29.43,37.62,1.36,16.13,19.62,0.10,1196.82,0.26,3.80,559.31,78.08,29.67,25.05,19.57,14.23,0.07,2.13,12.04,11.33,1.70,2.26,7.53,0.11,1199.20,0.14,6.94,538.91,93.16,34.50,28.85,24.75,27.60,4.67,5.15,17.77,16.87,5.17,3.93,6.98,0.11,1198.19,0.15,6.53,519.78,81.14,18.94,27.46,29.68,29.34,1.95,5.05,22.34,14.92,4.02,3.06,7.34,0.09,1196.76,0.32,3.16,541.51,65.89,22.07,24.31,15.53,11.43,0.11,1.84,9.47,9.63,1.62,1.87,6.05,0.24,1199.51,1.13,0.88,520.05,50.87,4.91,24.63,20.26,35.21,3.50,16.39,15.32,15.73,1.25,9.06,4.94,44.66,9.35,322.67,
0.52,1199.74,0.33,3.01,427.43,117.19,6.70,59.80,48.91,77.80,2.78,45.67,29.34,37.66,1.46,16.08,19.57,0.10,1200.74,0.26,3.90,522.52,62.35,18.29,25.12,15.01,11.70,0.16,2.13,9.41,9.10,1.79,1.83,5.59,0.40,1199.50,0.04,27.77,556.36,97.12,38.33,30.73,23.33,28.37,5.85,5.42,17.10,16.36,6.03,3.67,6.22,0.11,1196.33,0.06,18.15,541.14,78.84,27.85,18.93,25.10,24.64,1.62,4.80,18.22,13.94,4.37,2.48,6.88,0.09,1200.38,0.28,3.55,519.42,64.73,18.68,25.05,16.89,12.96,0.09,1.80,11.07,10.02,1.75,2.38,5.82,0.30,1199.64,0.25,4.07,528.43,50.97,5.45,24.44,19.87,33.05,1.75,16.14,15.16,14.88,1.18,8.61,4.71,41.40,8.37,449.26,
0.55,1199.72,0.60,1.68,405.03,80.85,7.13,53.96,17.80,60.22,2.82,45.57,11.83,24.34,1.50,16.36,5.97,0.10,1196.48,0.07,13.43,522.10,62.71,20.47,24.74,13.53,21.40,6.60,5.49,9.31,42.37,24.21,13.35,4.22,0.10,1198.82,0.13,7.61,516.19,83.84,27.65,28.19,23.41,30.15,7.18,5.86,17.11,18.35,7.54,3.54,6.29,0.11,1198.04,0.06,18.04,503.99,69.79,22.56,20.25,23.04,23.81,1.93,4.92,16.96,13.03,4.47,2.34,6.08,0.09,1196.76,0.10,10.21,529.70,63.23,19.21,24.30,16.03,12.95,-0.04,1.80,11.19,9.40,1.80,2.52,4.84,0.24,1199.41,1.13,0.88,516.17,50.90,4.60,25.23,19.97,34.96,3.43,16.24,15.29,15.46,1.32,8.98,4.68,50.90,9.94,288.11,
0.39,1200.13,0.03,37.39,547.30,42.46,12.49,9.74,18.45,14.32,0.16,2.13,12.03,8.94,1.60,0.94,6.42,0.10,1200.87,0.01,146.77,524.69,68.62,21.11,25.09,18.59,14.74,0.16,2.04,12.54,9.49,1.79,1.77,6.04,0.41,1199.57,0.06,17.90,528.18,103.30,35.60,39.75,23.65,28.90,5.65,5.65,17.61,16.11,6.04,3.61,6.05,0.12,1197.92,0.10,10.28,510.78,73.32,22.95,28.20,18.17,14.44,0.29,2.23,11.92,9.91,1.45,2.35,6.25,0.10,1198.40,0.01,97.97,536.74,75.31,25.10,31.91,14.31,10.43,0.11,1.66,8.65,10.36,1.75,2.92,5.65,0.23,1199.60,0.23,4.28,520.39,52.00,5.37,24.65,20.91,34.07,1.43,16.33,16.31,15.22,1.46,8.74,4.60,8.83,1.92,512.40,
0.41,1199.23,0.58,1.73,414.49,91.26,6.19,62.74,20.66,16.83,0.23,2.31,14.30,8.93,1.53,1.26,6.37,0.10,1196.85,0.26,3.82,558.97,74.63,30.29,24.15,16.35,11.83,0.14,1.95,9.74,10.84,1.88,2.85,6.60,0.11,1199.48,0.21,4.70,564.07,97.95,36.46,33.03,24.38,30.20,6.61,5.61,17.98,16.68,4.92,4.38,6.40,0.11,1198.30,0.11,8.93,515.40,77.54,18.82,27.79,25.27,20.67,0.13,1.81,18.72,9.83,1.45,1.92,6.54,0.09,1199.63,0.33,3.03,527.94,67.82,22.09,24.67,16.90,13.45,0.11,1.89,11.45,9.30,1.76,1.98,5.45,0.29,1199.69,1.03,0.97,527.67,52.10,5.82,25.29,19.68,36.00,3.38,17.55,15.06,16.95,2.84,8.97,4.62,48.30,10.72,308.19,
7.68,1199.97,1.61,0.62,790.89,50.47,0.12,1.50,48.82,31.52,0.14,1.90,29.48,22.25,1.51,1.44,19.34,0.09,1200.68,0.25,3.94,521.45,68.17,22.27,25.34,16.80,12.61,0.02,1.90,10.68,10.57,1.72,2.76,6.11,0.39,1199.49,0.04,27.94,526.71,87.11,29.02,31.70,21.69,28.45,7.04,5.92,15.50,13.89,4.27,2.45,6.19,0.10,1197.20,0.05,21.38,518.90,67.58,20.47,18.60,24.29,20.14,0.18,2.21,17.74,9.77,1.45,1.88,6.55,0.09,1200.34,0.28,3.51,514.82,59.55,14.45,25.34,15.56,11.59,0.11,1.69,9.79,9.52,1.75,1.91,5.77,0.25,1199.40,0.24,4.09,518.36,50.60,5.20,24.93,19.39,32.08,1.64,15.90,14.54,15.36,1.18,8.91,4.85,2.17,0.43,357.95,
0.37,1200.12,0.29,3.47,525.30,48.95,20.28,11.75,14.30,12.12,0.16,2.15,9.80,7.66,1.83,1.44,4.50,0.10,1198.76,0.25,3.93,526.72,67.19,22.01,25.33,16.03,11.84,0.11,1.70,10.03,10.41,1.67,2.76,6.00,0.10,1198.91,0.14,7.32,500.14,73.03,17.03,27.34,23.85,31.10,7.39,6.66,17.05,17.76,7.68,3.07,6.80,0.10,1199.88,0.21,4.68,509.89,54.42,11.62,15.61,23.09,18.85,0.22,2.01,16.62,9.92,1.74,1.88,6.48,0.09,1198.69,0.29,3.51,519.85,61.93,16.13,25.64,15.86,12.07,0.16,1.98,9.93,9.50,1.62,1.84,5.93,0.24,1199.60,1.12,0.90,515.42,50.86,4.81,25.16,19.75,33.87,1.75,16.88,15.24,13.44,1.00,7.56,4.51,9.64,2.05,260.60,
