CPCLI>>> CoreId     Event      Count-Value
CPCLI>>>   0        0x45       44756
CPCLI>>>   0        0x84       139
CPCLI>>>   0        0x85       1242
CPCLI>>>   0        0xc0       54800628
CPCLI>>>   1        0x45       28715
CPCLI>>>   1        0x84       45
CPCLI>>>   1        0x85       1995
CPCLI>>>   1        0xc0       8891960
CPCLI>>>   2        0x45       94642
CPCLI>>>   2        0x84       30982
CPCLI>>>   2        0x85       3803
CPCLI>>>   2        0xc0       41200547
CPCLI>>>   3        0x45       191750
CPCLI>>>   3        0x84       8957
CPCLI>>>   3        0x85       1987
CPCLI>>>   3        0xc0       312587943
CPCLI>>>   4        0x45       134700
CPCLI>>>   4        0x84       7774
CPCLI>>>   4        0x85       959
CPCLI>>>   4        0xc0       107339880
CPCLI>>>   5        0x45       297049
CPCLI>>>   5        0x84       9173
CPCLI>>>   5        0x85       1317
CPCLI>>>   5        0xc0       154222909
CPCLI>>>   6        0x45       285245
CPCLI>>>   6        0x84       12469
CPCLI>>>   6        0x85       2027
CPCLI>>>   6        0xc0       428764726
CPCLI>>>   7        0x45       1147
CPCLI>>>   7        0x84       0
CPCLI>>>   7        0x85       175
CPCLI>>>   7        0xc0       339314
CPCLI>>>   8        0x45       545
CPCLI>>>   8        0x84       0
CPCLI>>>   8        0x85       56
CPCLI>>>   8        0xc0       226226
CPCLI>>>   9        0x45       241250
CPCLI>>>   9        0x84       7944
CPCLI>>>   9        0x85       7983
CPCLI>>>   9        0xc0       344612466
CPCLI>>>  10        0x45       77214
CPCLI>>>  10        0x84       0
CPCLI>>>  10        0x85       10842
CPCLI>>>  10        0xc0       15494423
CPCLI>>>  11        0x45       2516
CPCLI>>>  11        0x84       77
CPCLI>>>  11        0x85       390
CPCLI>>>  11        0xc0       636614
CPCLI>>>  48        0x45       1611
CPCLI>>>  48        0x84       0
CPCLI>>>  48        0x85       338
CPCLI>>>  48        0xc0       413171
CPCLI>>>  49        0x45       606
CPCLI>>>  49        0x84       4
CPCLI>>>  49        0x85       62
CPCLI>>>  49        0xc0       320187
CPCLI>>>  50        0x45       469579
CPCLI>>>  50        0x84       8114
CPCLI>>>  50        0x85       1349
CPCLI>>>  50        0xc0       602361022
CPCLI>>>  51        0x45       464
CPCLI>>>  51        0x84       0
CPCLI>>>  51        0x85       51
CPCLI>>>  51        0xc0       325818
CPCLI>>>  52        0x45       485
CPCLI>>>  52        0x84       0
CPCLI>>>  52        0x85       50
CPCLI>>>  52        0xc0       345055
CPCLI>>>  53        0x45       464147
CPCLI>>>  53        0x84       8429
CPCLI>>>  53        0x85       1334
CPCLI>>>  53        0xc0       597664629
CPCLI>>>  54        0x45       56335
CPCLI>>>  54        0x84       5850
CPCLI>>>  54        0x85       1786
CPCLI>>>  54        0xc0       108799963
CPCLI>>>  55        0x45       7305
CPCLI>>>  55        0x84       0
CPCLI>>>  55        0x85       666
CPCLI>>>  55        0xc0       2543962
CPCLI>>>  56        0x45       39682
CPCLI>>>  56        0x84       0
CPCLI>>>  56        0x85       4961
CPCLI>>>  56        0xc0       9639708
CPCLI>>>  57        0x45       21959
CPCLI>>>  57        0x84       0
CPCLI>>>  57        0x85       3552
CPCLI>>>  57        0xc0       4591806
CPCLI>>>  58        0x45       13353
CPCLI>>>  58        0x84       0
CPCLI>>>  58        0x85       1302
CPCLI>>>  58        0xc0       7303530
CPCLI>>>  59        0x45       92302868
CPCLI>>>  59        0x84       3385913
CPCLI>>>  59        0x85       106532
CPCLI>>>  59        0xc0       65944919939
