
AMDuProf PROFILE REPORT

EXECUTION
Target Path:
Command Line Arguments:
Working Directory:
Environment Variables:
CPU Details:,"Family(0x17), Model(0x1), Number of Cores(96)"
Operating System:,"LinuxUbuntu 18.04.2 LTS-64 (Kernel: 4.15.0)"

PROFILE DETAILS
Profile Session Type:,"Investigate Data Access"
Profile Scope:,"System-Wide"
CPU Mask:,"0x1FFFFFFFF"
CPU Affinity Mask:,"0xFFFFFFFFFFFFFFFFFFFFFFFF"
Profile Start Time:,"Apr-06-2020_22-16-04"
Profile End Time:,"Apr-06-2020_22-20-05"
Profile Duration:,"241 seconds"
Data Folder:,"/tmp"
Call Stack Sampling:,"False"

Monitored Events:,Name,Interval,Unitmask,User,OS
,"Misaligned loads (PMCx047)",25000,0,True,True
,"Cycles not in Halt (PMCx076)",250000,0,True,True
,"Retired Instructions (PMCx0C0)",250000,0,True,True
,"LS Dispatch (PMCx029)",250000,7,True,True
,"Data Cache Refills from System (PMCx043)",25000,11,True,True
,"Requests to L2 Group1 (PMCx060)",25000,c8,True,True
,"L1 DTLB Miss (PMCx045)",25000,ff,True,True

"5 HOTTEST FUNCTIONS (Sort Event - CPU clocks)"
MODULE,"Misalign access","CPU clocks","Ret inst","DC accesses","DC refills L2/sys","DC misses","DTLB L1M","DC access rate","DC miss rate","DC miss ratio","IPC","CPI","DTLB request rate","DTLB L1M rate","DC refill rate","Misalign rate","Misalign ratio"
"[kernel.kallsyms]_text",57,321471,46534,46646,4543,16448,2253,1.0024,0.0353,0.0353,0.1448,6.9083,1.0024,0.0048,0.0098,0.0001,0.0001
"/lib/modules/4.15.0-91-generic/kernel/arch/x86/kvm/kvm.ko",0,16,3,1,0,2,0,0.3333,0.0667,0.2000,0.1875,5.3333,0.3333,0.0000,0.0000,0.0000,0.0000
"/lib/modules/4.15.0-91-generic/kernel/net/netfilter/nf_conntrack.ko",0,7,0,1,0,1,0,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"/lib/modules/4.15.0-91-generic/kernel/net/ipv4/netfilter/nf_nat_ipv4.ko",0,1,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"/lib/modules/4.15.0-91-generic/kernel/net/ipv4/netfilter/ip_tables.ko",0,0,0,0,0,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000


FUNCTION SUMMARY
FUNCTION,"Misalign access","CPU clocks","Ret inst","DC accesses","DC refills L2/sys","DC misses","DTLB L1M","DC access rate","DC miss rate","DC miss ratio","IPC","CPI","DTLB request rate","DTLB L1M rate","DC refill rate","Misalign rate","Misalign ratio"
"acpi_idle_do_entry",0,162868,2416,9793,1577,2654,95,4.0534,0.1099,0.0271,0.0148,67.4123,4.0534,0.0039,0.0653,0.0000,0.0000
"acpi_processor_ffh_cstate_enter",0,57621,699,446,133,217,68,0.6381,0.0310,0.0487,0.0121,82.4335,0.6381,0.0097,0.0190,0.0000,0.0000
"poll_idle",0,10629,10748,10684,5,6,0,0.9940,0.0001,0.0001,1.0112,0.9889,0.9940,0.0000,0.0000,0.0000,0.0000
"native_write_msr",0,9922,1592,1483,62,227,3,0.9315,0.0143,0.0153,0.1605,6.2324,0.9315,0.0002,0.0039,0.0000,0.0000
"native_read_msr",0,4960,433,728,78,272,62,1.6813,0.0628,0.0374,0.0873,11.4550,1.6813,0.0143,0.0180,0.0000,0.0000
"menu_select",1,4794,3192,1231,208,771,136,0.3857,0.0242,0.0626,0.6658,1.5019,0.3857,0.0043,0.0065,0.0000,0.0001
"update_blocked_averages",0,3628,2733,1178,402,2362,289,0.4310,0.0864,0.2005,0.7533,1.3275,0.4310,0.0106,0.0147,0.0000,0.0000
"apic_timer_interrupt",0,3539,486,973,10,250,208,2.0021,0.0514,0.0257,0.1373,7.2819,2.0021,0.0428,0.0021,0.0000,0.0000
"__tick_nohz_idle_enter",0,3083,1485,1059,114,545,39,0.7131,0.0367,0.0515,0.4817,2.0761,0.7131,0.0026,0.0077,0.0000,0.0000
"__x86_indirect_thunk_rax",11,2575,643,685,100,295,34,1.0653,0.0459,0.0431,0.2497,4.0047,1.0653,0.0053,0.0156,0.0017,0.0016

Function Detail Data
Function,"Misalign access","CPU clocks","Ret inst","DC accesses","DC refills L2/sys","DC misses","DTLB L1M","DC access rate","DC miss rate","DC miss ratio","IPC","CPI","DTLB request rate","DTLB L1M rate","DC refill rate","Misalign rate","Misalign ratio"
"acpi_idle_do_entry" (BINARY FILE NOT FOUND),0,162868,2416,9793,1577,2654,95,4.053,0.110,0.027,0.015,67.412,4.053,0.004,0.065,0.000,0.000

Function,"Misalign access","CPU clocks","Ret inst","DC accesses","DC refills L2/sys","DC misses","DTLB L1M","DC access rate","DC miss rate","DC miss ratio","IPC","CPI","DTLB request rate","DTLB L1M rate","DC refill rate","Misalign rate","Misalign ratio"
