pid 83408's current affinity list: 0-11,48-59
pid 83408's new affinity list: 0-11,48-59
pid 83409's current affinity list: 0-11,48-59
pid 83409's new affinity list: 0-11,48-59
pid 83410's current affinity list: 0-11,48-59
pid 83410's new affinity list: 0-11,48-59
pid 83411's current affinity list: 0-11,48-59
pid 83411's new affinity list: 0-11,48-59
pid 83412's current affinity list: 0-11,48-59
pid 83412's new affinity list: 0-11,48-59
pid 83413's current affinity list: 0-11,48-59
pid 83413's new affinity list: 0-11,48-59
pid 83414's current affinity list: 0-11,48-59
pid 83414's new affinity list: 0-11,48-59
pid 83415's current affinity list: 0-11,48-59
pid 83415's new affinity list: 0-11,48-59
pid 83416's current affinity list: 0-11,48-59
pid 83416's new affinity list: 0-11,48-59
pid 83417's current affinity list: 0-11,48-59
pid 83417's new affinity list: 0-11,48-59
pid 83418's current affinity list: 0-11,48-59
pid 83418's new affinity list: 0-11,48-59
pid 83419's current affinity list: 0-11,48-59
pid 83419's new affinity list: 0-11,48-59
pid 83420's current affinity list: 0-11,48-59
pid 83420's new affinity list: 0-11,48-59
pid 83421's current affinity list: 0-11,48-59
pid 83421's new affinity list: 0-11,48-59
pid 83422's current affinity list: 0-11,48-59
pid 83422's new affinity list: 0-11,48-59
pid 83423's current affinity list: 0-11,48-59
pid 83423's new affinity list: 0-11,48-59
pid 83424's current affinity list: 0-11,48-59
pid 83424's new affinity list: 0-11,48-59
pid 83425's current affinity list: 0-11,48-59
pid 83425's new affinity list: 0-11,48-59
pid 83426's current affinity list: 0-11,48-59
pid 83426's new affinity list: 0-11,48-59
pid 83427's current affinity list: 0-11,48-59
pid 83427's new affinity list: 0-11,48-59
pid 83428's current affinity list: 0-11,48-59
pid 83428's new affinity list: 0-11,48-59
pid 83429's current affinity list: 0-11,48-59
pid 83429's new affinity list: 0-11,48-59
pid 83430's current affinity list: 0-11,48-59
pid 83430's new affinity list: 0-11,48-59
pid 83431's current affinity list: 0-11,48-59
pid 83431's new affinity list: 0-11,48-59
pid 83432's current affinity list: 0-11,48-59
pid 83432's new affinity list: 0-11,48-59
pid 83433's current affinity list: 0-11,48-59
pid 83433's new affinity list: 0-11,48-59
pid 83434's current affinity list: 0-11,48-59
pid 83434's new affinity list: 0-11,48-59
pid 83435's current affinity list: 0-11,48-59
pid 83435's new affinity list: 0-11,48-59
