
AMDuProfPcm Report

System:,Family(0x17) Model(0x1) Stepping(0x2)
Number of sockets:,2
Number of nodes(die):,8
Number of core complexes(CCX):,16
Number of physical cores:,48
Number of logical cores (threads) :,96
SMT Enabled:,True
Number of logical cores sharing L3:,6

CPU Topology:
Socket, Die, CCX, Core(s)
0,0,0, 0 1 2 48 49 50
0,0,1, 3 4 5 51 52 53
0,1,2, 6 7 8 54 55 56
0,1,3, 9 10 11 57 58 59
0,2,4, 12 13 14 60 61 62
0,2,5, 15 16 17 63 64 65
0,3,6, 18 19 20 66 67 68
0,3,7, 21 22 23 69 70 71
1,4,8, 24 25 26 72 73 74
1,4,9, 27 28 29 75 76 77
1,5,10, 30 31 32 78 79 80
1,5,11, 33 34 35 81 82 83
1,6,12, 36 37 38 84 85 86
1,6,13, 39 40 41 87 88 89
1,7,14, 42 43 44 90 91 92
1,7,15, 45 46 47 93 94 95

P0 state frequency (MHz):,2000.000000
Measured DF Frequency (MHz):,1199.983765
Sampling interval (ms):,1000
Version:,3.2.228

IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Core-3 (ccx-1 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-4 (ccx-1 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-5 (ccx-1 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-51 (ccx-1 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-52 (ccx-1 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-53 (ccx-1 die-0 pkg-0),,,,,,,,,,,,,,,,,CCX-1(die-0 pkg-0),,,
Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access (pti),L3 Miss (pti),Ave L3 Miss Latency,
0.10,1796.47,0.03,28.92,515.36,41.83,16.66,7.55,16.02,87.42,52.73,22.76,11.94,27.42,18.63,4.29,4.09,0.07,1300.94,0.20,4.90,488.37,47.09,22.03,20.27,2.82,3.69,0.09,1.96,1.64,5.37,2.03,2.32,1.18,0.85,2941.89,0.01,178.32,541.92,164.54,85.10,45.65,27.81,154.35,83.80,49.00,21.55,26.63,16.46,3.95,6.26,0.61,1569.52,0.68,1.46,591.74,84.18,37.35,27.30,17.10,62.28,25.66,23.81,12.80,24.13,13.03,6.12,4.30,0.07,1299.00,0.22,4.59,484.70,56.19,18.26,20.70,15.16,14.91,0.14,1.70,13.08,6.50,1.77,2.63,2.08,100.00,2935.52,2.40,0.42,434.97,32.19,19.68,9.17,3.15,3.92,0.23,1.08,2.61,31.69,15.26,15.73,0.54,1.43,0.75,713.55,
16.27,2597.35,0.41,2.43,499.13,28.43,0.58,11.45,15.71,17.32,0.35,4.67,12.30,16.82,0.36,12.79,3.41,15.33,2665.60,0.33,3.04,492.46,29.79,0.49,12.61,15.82,19.36,0.26,6.49,12.61,7.42,0.51,3.25,3.22,16.52,2802.30,0.31,3.28,481.67,36.12,0.47,7.37,27.87,28.89,0.99,7.18,20.73,11.28,0.58,3.09,7.15,15.64,2598.08,0.56,1.79,482.18,30.62,0.70,7.82,21.65,19.74,0.16,3.83,15.76,9.24,0.41,2.72,5.90,15.27,2673.70,0.36,2.77,483.40,28.12,0.73,10.97,15.58,22.24,1.78,6.94,13.52,6.64,1.12,3.01,2.06,99.83,2964.22,1.37,0.73,440.73,29.60,11.83,14.24,3.27,4.37,0.23,1.38,2.77,29.53,17.54,11.31,0.50,2.43,1.67,539.81,
8.19,2796.56,0.01,98.91,516.40,30.63,16.36,7.87,4.82,46.89,24.42,19.05,3.43,24.86,17.31,5.23,1.40,7.48,2785.51,0.00,261.44,464.60,18.91,7.75,5.78,4.53,22.91,4.22,15.40,3.29,35.50,26.73,5.98,1.24,8.17,2799.79,0.00,364.67,504.75,148.14,94.86,41.34,4.96,133.05,81.97,47.60,3.48,28.83,22.52,4.73,1.48,7.88,2781.36,0.45,2.21,535.51,61.27,21.04,32.94,5.23,30.22,3.70,23.04,3.48,13.91,6.33,5.01,1.75,8.09,2695.16,0.47,2.15,510.48,72.93,32.97,33.89,4.75,25.88,1.09,21.44,3.36,47.98,32.70,12.53,1.40,99.23,2895.80,2.33,0.43,438.06,34.39,20.69,9.74,3.80,4.20,0.25,0.97,2.99,30.48,18.49,11.08,0.81,1.62,0.90,472.73,
52.17,2821.93,2.38,0.42,433.93,31.00,19.95,7.68,3.15,3.89,0.19,1.09,2.61,30.16,14.85,14.57,0.54,20.87,2687.91,0.67,1.49,450.83,20.85,1.13,2.98,16.58,29.48,1.16,16.40,11.92,34.72,21.20,6.48,4.66,20.57,2799.53,0.57,1.76,456.81,19.44,1.31,1.65,16.39,52.98,18.79,21.82,12.38,37.11,25.07,6.77,4.01,20.53,2726.54,0.68,1.48,469.22,36.47,1.49,7.44,27.36,123.25,63.76,38.40,21.09,36.48,26.36,3.91,6.27,21.41,2657.93,0.70,1.43,454.21,23.01,1.31,3.75,17.76,59.40,25.28,19.40,14.71,25.76,15.66,6.05,3.05,68.48,2924.00,0.72,1.38,455.14,26.59,1.32,3.30,21.80,43.79,5.65,21.89,16.25,22.78,10.41,5.70,5.56,3.40,1.85,418.57,
100.00,2991.17,2.51,0.40,433.52,28.53,17.76,7.53,3.03,3.69,0.18,0.91,2.60,26.30,12.82,12.88,0.43,0.10,1382.50,0.04,27.72,519.70,80.87,33.28,27.13,17.95,30.36,1.12,15.45,13.79,30.24,17.71,6.44,4.16,0.42,1325.60,0.05,18.34,581.61,107.47,57.97,33.65,11.35,48.00,18.58,21.84,7.58,36.03,24.63,6.64,3.77,0.25,2978.52,0.00,230.64,511.96,165.83,90.63,39.73,27.02,125.90,65.50,39.24,21.16,33.51,24.38,3.40,5.86,0.11,1381.62,0.05,21.71,521.82,84.88,33.65,29.59,18.79,58.40,24.72,18.80,14.88,24.26,13.40,6.10,3.91,0.14,1355.45,0.07,14.94,525.98,66.64,17.81,26.81,20.38,40.11,4.46,20.34,15.31,17.53,6.02,5.66,5.07,1.43,0.78,477.47,
100.00,2991.70,2.46,0.41,440.34,27.80,17.14,7.58,2.86,3.43,0.18,0.82,2.44,27.18,13.25,13.27,0.43,0.09,1333.89,0.01,72.82,438.60,26.20,4.47,5.40,15.29,26.73,0.70,14.38,11.66,30.31,18.78,7.13,3.63,0.10,1331.59,0.19,5.28,527.63,76.20,30.21,26.84,16.70,52.25,17.54,21.70,13.01,30.39,19.32,6.24,3.69,0.16,2980.16,0.01,130.02,502.70,146.70,82.76,32.07,24.48,123.36,63.84,41.15,18.37,34.49,25.04,3.46,6.12,0.11,1331.14,0.03,38.19,509.96,72.71,31.41,22.96,15.54,27.33,1.54,14.02,11.77,34.12,21.77,7.55,3.77,0.15,1333.68,0.51,1.96,513.75,54.37,7.84,24.86,20.76,36.73,2.42,18.48,15.83,16.56,4.14,7.14,4.93,1.33,0.81,340.85,
100.00,2991.07,2.03,0.49,431.03,34.52,15.27,15.83,3.14,3.78,0.19,0.90,2.70,30.39,14.76,15.05,0.44,0.08,1331.73,0.00,896.61,432.07,24.93,4.67,5.66,13.48,26.15,0.98,14.57,10.59,33.43,22.15,7.26,2.89,0.39,1332.96,0.02,42.80,514.97,79.42,31.05,22.87,21.77,49.75,11.45,20.71,17.58,36.41,22.55,8.09,4.19,0.34,2979.51,0.00,725.64,423.02,156.75,87.29,38.53,27.00,134.09,70.23,43.01,20.85,28.88,19.30,3.71,6.16,0.10,1331.88,0.00,523.66,498.80,72.24,31.89,20.24,16.00,30.60,3.66,14.40,12.55,32.10,20.72,7.01,3.46,0.20,1317.52,0.20,5.07,521.10,51.54,6.32,24.33,19.90,36.21,2.49,18.36,15.37,13.34,2.94,5.50,4.53,1.34,0.81,397.88,
100.00,2991.11,2.29,0.44,432.11,31.66,16.91,11.42,3.14,3.72,0.19,0.89,2.65,30.26,14.73,14.92,0.49,0.08,1327.93,0.20,4.90,493.33,53.91,24.39,10.65,17.39,28.19,0.77,13.30,14.12,32.91,21.14,7.55,3.27,0.11,1325.62,0.00,250.12,510.23,64.69,20.46,19.02,23.43,52.90,12.89,21.48,18.52,35.12,21.21,7.57,4.90,0.18,2971.88,0.00,958.92,422.94,166.52,92.00,43.21,26.19,126.76,66.04,40.75,19.98,33.34,23.41,3.91,6.22,0.09,1328.25,0.23,4.26,469.76,35.53,7.33,10.70,15.74,26.68,1.63,12.73,12.32,31.84,19.81,7.48,3.42,0.20,1331.18,0.03,34.33,515.78,50.81,5.62,23.91,20.21,34.92,2.84,16.82,15.25,15.44,3.90,6.08,4.96,1.30,0.76,267.77,
100.00,2990.56,2.10,0.48,426.95,33.50,14.53,15.62,3.13,3.72,0.19,0.91,2.63,30.17,14.67,14.84,0.50,0.08,1331.76,0.20,5.00,448.26,18.48,2.49,4.60,10.05,19.85,0.63,13.59,5.62,34.56,21.09,7.50,4.42,0.41,1332.87,0.02,60.47,510.07,67.45,33.34,11.84,18.65,56.25,21.06,20.21,14.98,31.44,18.90,7.11,3.66,0.29,2977.39,0.00,892.50,417.21,163.01,89.41,42.63,26.64,124.89,63.70,40.82,20.36,33.23,23.49,3.73,6.28,0.09,1331.64,0.23,4.41,447.98,25.05,0.53,6.50,16.19,27.46,1.39,13.94,12.13,36.32,22.88,8.36,4.06,0.21,1320.45,0.16,6.20,519.59,47.36,4.33,23.89,18.06,33.44,1.78,18.17,13.49,12.64,1.88,5.63,4.56,1.29,0.76,271.39,
100.00,2995.02,2.43,0.41,435.29,30.40,18.61,8.48,3.13,3.72,0.19,0.89,2.64,30.60,14.93,15.04,0.49,0.09,1329.38,0.01,110.45,561.79,72.95,29.03,23.08,17.49,23.20,1.85,7.46,13.88,42.21,29.60,6.92,3.61,0.12,1332.11,0.25,3.94,568.73,74.80,27.81,24.85,19.49,59.30,18.29,25.43,15.58,36.40,24.04,6.95,3.91,0.24,2979.51,0.00,223.14,516.69,158.36,85.40,40.78,26.15,131.62,68.99,42.70,19.93,29.72,19.82,3.81,6.22,0.11,1330.26,0.01,84.65,557.98,81.25,31.22,27.60,19.37,60.24,22.92,22.66,14.67,37.94,22.76,8.65,4.70,0.31,1332.81,0.77,1.30,538.12,54.93,10.09,24.71,18.82,34.97,3.42,17.50,14.05,11.73,2.01,4.52,4.77,1.43,0.85,276.03,
