
AMDuProfPcm Report

System:,Family(0x17) Model(0x1) Stepping(0x2)
Number of sockets:,2
Number of nodes(die):,8
Number of core complexes(CCX):,16
Number of physical cores:,48
Number of logical cores (threads) :,96
SMT Enabled:,True
Number of logical cores sharing L3:,6

CPU Topology:
Socket, Die, CCX, Core(s)
0,0,0, 0 1 2 48 49 50
0,0,1, 3 4 5 51 52 53
0,1,2, 6 7 8 54 55 56
0,1,3, 9 10 11 57 58 59
0,2,4, 12 13 14 60 61 62
0,2,5, 15 16 17 63 64 65
0,3,6, 18 19 20 66 67 68
0,3,7, 21 22 23 69 70 71
1,4,8, 24 25 26 72 73 74
1,4,9, 27 28 29 75 76 77
1,5,10, 30 31 32 78 79 80
1,5,11, 33 34 35 81 82 83
1,6,12, 36 37 38 84 85 86
1,6,13, 39 40 41 87 88 89
1,7,14, 42 43 44 90 91 92
1,7,15, 45 46 47 93 94 95

P0 state frequency (MHz):,2000.000000
Measured DF Frequency (MHz):,0.000000
Sampling interval (ms):,1000
Version:,3.2.228

IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Core-0 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-1 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-2 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-48 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-49 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-50 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,CCX-0(die-0 pkg-0),,,
Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access (pti),L3 Miss (pti),Ave L3 Miss Latency,
0.50,1197.16,0.47,2.11,562.71,71.11,17.60,29.46,22.54,42.71,5.45,21.22,16.04,20.62,4.06,9.57,6.50,0.54,1197.67,1.07,0.93,545.38,53.52,12.19,22.49,17.61,37.02,5.62,18.01,13.40,13.31,3.21,5.40,4.21,0.32,1196.03,0.26,3.80,702.02,160.10,95.74,36.94,22.19,104.41,55.57,30.90,17.94,45.96,32.82,7.40,4.26,0.09,1187.74,0.26,3.83,627.58,71.34,23.40,24.14,21.12,68.88,28.36,23.60,16.91,59.15,41.62,11.11,4.21,0.14,1192.29,0.27,3.72,495.84,71.86,34.40,16.14,19.21,49.49,10.32,23.58,15.59,39.42,25.05,8.02,3.61,0.95,1198.49,0.35,2.89,738.63,183.22,114.42,39.97,23.29,106.80,55.40,32.91,18.48,46.21,32.57,7.81,4.81,73.44,14.10,306.59,
3.11,1199.92,0.56,1.77,566.27,59.78,23.11,22.77,11.57,33.87,12.04,15.19,6.64,38.92,20.49,11.95,4.93,1.29,1199.84,0.74,1.35,573.29,89.90,26.11,50.09,11.43,25.89,9.36,9.60,6.92,42.12,17.56,17.83,4.51,1.20,1199.82,0.46,2.19,592.74,67.44,28.35,19.19,16.36,27.53,11.90,5.76,9.87,42.10,19.03,15.00,6.49,0.58,1199.78,0.39,2.56,519.63,61.22,32.89,14.27,11.31,15.07,4.08,4.64,6.34,35.79,8.79,20.49,4.97,0.45,1199.74,0.48,2.09,652.28,108.51,65.97,24.67,12.39,23.72,9.92,6.77,7.03,41.14,19.30,14.18,5.37,1.32,1199.73,0.27,3.68,677.01,134.04,84.30,31.38,13.23,23.10,9.27,7.09,6.74,41.37,21.13,12.37,6.49,50.07,12.26,253.45,
22.63,2153.90,0.51,1.95,501.38,30.51,2.15,10.71,16.82,17.34,0.69,4.60,12.06,9.36,0.75,3.52,4.76,19.51,2234.60,0.56,1.79,519.26,31.62,4.51,10.77,15.26,15.77,0.47,6.34,8.96,11.45,0.74,3.91,6.30,16.78,2601.50,0.32,3.16,492.19,27.38,4.15,8.90,13.55,17.40,0.73,7.23,9.44,9.40,0.96,3.87,4.11,15.75,2286.47,0.44,2.25,492.57,26.20,2.71,9.85,12.71,16.95,2.16,7.59,7.19,11.56,1.66,3.89,5.52,14.83,2367.12,0.49,2.06,493.31,22.86,1.23,10.36,10.43,14.51,2.60,5.93,5.99,11.18,2.22,4.05,4.44,42.64,2781.95,0.89,1.12,478.77,32.09,1.33,14.27,15.44,15.35,0.26,4.14,10.95,9.20,0.79,3.56,4.48,10.44,5.24,572.31,
8.07,2478.99,0.03,32.04,534.10,69.01,27.49,17.03,21.80,63.91,24.30,23.51,16.11,34.56,20.28,7.34,5.69,8.31,2653.14,0.13,7.63,432.36,28.85,0.75,4.42,22.61,38.21,10.96,8.76,18.50,19.10,10.39,3.86,4.11,6.96,2505.60,0.05,19.64,566.12,87.06,34.55,27.22,22.58,70.58,28.75,23.80,18.03,42.87,25.81,10.97,4.55,9.44,2549.49,0.04,25.05,617.31,98.14,58.30,18.03,18.56,67.85,37.95,15.39,14.52,62.53,40.39,14.81,4.05,19.57,2809.64,0.15,6.56,429.11,27.73,0.77,4.54,21.47,77.70,41.13,18.86,17.71,78.82,54.57,18.63,3.76,6.35,2539.11,0.37,2.70,692.22,170.15,101.98,38.97,23.59,111.21,60.31,32.63,18.27,54.07,39.09,8.40,5.32,104.04,21.36,663.57,
0.50,1291.98,0.28,3.61,552.70,67.79,28.09,16.97,20.07,68.79,27.23,25.71,15.86,41.50,26.87,8.67,4.22,0.27,2208.06,0.20,5.07,432.35,27.45,0.88,4.32,21.16,57.14,17.28,22.59,17.28,44.05,28.15,10.19,3.89,0.26,1215.95,0.06,16.45,563.48,86.46,35.54,26.24,22.28,90.64,44.25,28.80,17.59,40.54,25.42,8.98,4.69,0.23,1439.16,0.11,8.95,431.33,25.04,1.75,5.07,17.33,78.29,40.12,24.78,13.39,40.00,26.96,7.22,3.94,0.26,2015.34,0.24,4.16,430.24,27.23,0.88,4.46,20.79,62.15,21.33,23.78,17.04,44.95,30.27,8.79,3.74,1.08,1211.58,0.38,2.61,711.74,178.99,110.42,39.13,24.18,97.35,48.39,30.20,18.77,56.84,39.51,10.47,5.42,105.08,18.09,325.35,
0.18,1199.04,0.28,3.56,548.76,66.61,26.12,16.75,21.08,63.38,22.17,24.89,16.33,42.89,27.79,8.90,4.75,0.14,1199.13,0.20,5.05,433.46,26.78,0.88,4.40,20.41,58.12,18.41,23.33,16.39,41.52,25.28,10.55,4.02,0.55,1199.69,0.08,13.14,534.45,74.86,24.95,25.83,22.03,74.07,28.98,27.85,17.25,32.17,18.78,7.34,4.78,0.16,1199.11,0.11,8.82,435.99,25.58,1.81,4.99,17.87,44.83,7.72,22.92,14.19,50.16,33.76,10.19,3.69,0.13,1199.04,0.24,4.17,430.31,26.32,0.65,4.41,20.06,40.90,2.42,21.72,16.76,47.86,33.00,9.26,3.30,1.27,1199.66,0.29,3.46,711.88,181.22,112.33,38.78,24.88,112.62,60.81,32.60,19.21,54.49,38.17,9.39,5.67,105.10,17.88,326.65,
0.47,1199.08,0.46,2.18,525.95,93.87,36.89,33.11,22.46,71.84,26.21,27.26,18.37,51.87,36.16,10.58,4.09,0.14,1199.07,0.00,254.95,434.04,30.04,2.82,5.02,21.08,55.04,12.46,25.25,17.33,44.09,27.88,10.59,3.75,0.24,1199.29,0.01,72.39,527.01,71.50,21.53,25.94,22.00,77.85,35.09,25.28,17.48,36.03,20.67,9.70,4.52,0.13,1199.25,0.02,59.42,448.48,25.01,1.64,5.73,16.35,66.92,26.52,27.69,12.71,50.57,32.87,11.34,3.64,0.13,1198.93,0.01,192.67,474.46,48.39,19.88,10.69,15.91,54.13,15.80,25.80,12.52,42.76,28.38,8.80,3.39,0.85,1199.51,0.22,4.61,543.44,100.34,42.35,34.14,22.19,78.96,34.09,27.29,17.58,49.17,31.33,11.67,4.61,36.91,21.35,297.86,
0.93,1199.55,0.45,2.24,536.67,97.21,38.94,33.76,23.18,53.04,9.95,24.36,18.74,56.48,39.09,11.81,4.44,0.15,1199.10,0.20,5.11,433.45,26.96,0.90,4.55,20.52,57.72,16.24,24.87,16.60,41.73,26.48,9.71,3.92,0.51,1199.70,0.03,31.97,550.63,76.81,27.66,26.90,20.12,65.04,22.70,26.59,15.74,38.80,25.78,7.13,4.38,0.14,1198.97,0.02,53.70,537.74,85.96,53.77,13.29,15.42,45.90,10.45,23.38,12.08,45.89,26.68,13.30,3.35,0.14,1199.21,0.23,4.35,428.90,24.11,0.82,4.41,17.81,56.91,16.04,26.33,14.53,41.58,27.68,8.36,3.28,0.36,1199.46,0.12,8.45,638.13,140.61,78.83,35.38,22.39,93.75,43.98,31.96,17.81,45.14,30.32,8.50,4.58,49.55,23.52,299.33,
0.91,1199.57,0.45,2.21,531.68,94.57,38.18,33.74,21.55,92.67,46.41,30.33,15.94,54.81,38.41,9.72,5.61,0.14,1199.16,0.20,5.09,432.12,27.38,0.87,4.33,21.10,56.62,17.47,22.60,16.56,62.21,41.67,13.30,4.54,0.22,1199.33,0.07,14.66,547.45,79.62,26.01,27.43,23.93,50.60,18.32,13.55,18.73,67.98,49.05,12.70,5.20,0.14,1199.06,0.04,26.89,510.16,76.87,33.20,20.70,19.80,33.03,9.69,7.81,15.53,26.32,14.79,6.38,4.28,0.14,1199.10,0.24,4.19,429.96,24.21,0.82,4.49,17.85,71.37,32.46,25.38,13.54,54.61,37.02,11.21,4.32,0.39,1199.98,0.09,11.16,654.57,137.93,87.47,36.46,9.53,21.63,9.89,6.72,5.02,52.82,23.48,22.65,4.52,50.03,23.30,303.73,
3.09,1454.62,0.37,2.70,588.83,94.90,39.77,30.80,21.46,49.74,16.58,16.16,17.00,43.89,24.43,13.40,4.46,1.80,1374.43,0.51,1.94,589.21,82.66,40.70,18.15,20.60,66.07,30.14,19.96,15.96,77.14,54.01,15.77,4.64,3.00,1530.05,0.69,1.45,568.43,74.26,34.52,15.92,21.07,49.45,21.80,11.32,16.33,59.93,36.26,15.80,4.74,2.46,1346.50,0.63,1.58,578.15,73.67,35.24,16.76,18.78,46.58,21.65,10.56,14.37,58.11,36.06,14.62,4.41,2.78,1333.13,0.90,1.11,617.51,71.86,29.30,22.70,17.18,23.20,5.09,5.05,13.06,31.15,10.20,15.34,4.12,5.04,1827.71,0.80,1.24,635.59,68.40,34.02,20.06,11.47,58.36,34.75,15.85,7.75,65.07,43.87,15.33,3.71,27.98,5.76,352.46,
