
AMDuProfPcm Report

System:,Family(0x17) Model(0x1) Stepping(0x2)
Number of sockets:,2
Number of nodes(die):,8
Number of core complexes(CCX):,16
Number of physical cores:,48
Number of logical cores (threads) :,96
SMT Enabled:,True
Number of logical cores sharing L3:,6

CPU Topology:
Socket, Die, CCX, Core(s)
0,0,0, 0 1 2 48 49 50
0,0,1, 3 4 5 51 52 53
0,1,2, 6 7 8 54 55 56
0,1,3, 9 10 11 57 58 59
0,2,4, 12 13 14 60 61 62
0,2,5, 15 16 17 63 64 65
0,3,6, 18 19 20 66 67 68
0,3,7, 21 22 23 69 70 71
1,4,8, 24 25 26 72 73 74
1,4,9, 27 28 29 75 76 77
1,5,10, 30 31 32 78 79 80
1,5,11, 33 34 35 81 82 83
1,6,12, 36 37 38 84 85 86
1,6,13, 39 40 41 87 88 89
1,7,14, 42 43 44 90 91 92
1,7,15, 45 46 47 93 94 95

P0 state frequency (MHz):,2000.000000
Measured DF Frequency (MHz):,889.627625
Sampling interval (ms):,1000
Version:,3.2.228

IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Core-6 (ccx-2 die-1 pkg-0),,,,,,,,,,,,,,,,,Core-7 (ccx-2 die-1 pkg-0),,,,,,,,,,,,,,,,,Core-8 (ccx-2 die-1 pkg-0),,,,,,,,,,,,,,,,,Core-54 (ccx-2 die-1 pkg-0),,,,,,,,,,,,,,,,,Core-55 (ccx-2 die-1 pkg-0),,,,,,,,,,,,,,,,,Core-56 (ccx-2 die-1 pkg-0),,,,,,,,,,,,,,,,,CCX-2(die-1 pkg-0),,,
Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access (pti),L3 Miss (pti),Ave L3 Miss Latency,
0.08,1198.24,0.25,3.98,478.06,7.14,0.95,4.91,0.00,2.02,0.14,1.88,0.00,3.18,0.91,2.04,0.00,0.06,1198.49,0.19,5.22,431.75,5.83,0.00,4.72,0.09,2.00,0.14,1.83,0.03,2.01,0.00,1.79,0.06,0.06,1198.40,0.15,6.74,440.42,9.49,2.72,5.03,0.00,1.90,0.02,1.88,0.00,2.78,0.00,2.22,0.00,0.06,1198.64,0.16,6.19,430.93,6.35,0.75,4.51,0.04,1.87,0.11,1.72,0.04,2.67,0.88,1.81,0.00,0.06,1198.40,0.22,4.50,430.13,5.47,0.00,4.32,0.00,1.77,0.00,1.77,0.00,1.90,0.00,1.52,0.00,0.07,1198.70,0.28,3.56,474.59,34.59,14.78,16.91,1.48,1.99,0.16,1.83,0.00,3.97,0.05,1.77,1.48,1.16,0.91,378.86,
0.08,1198.16,0.25,4.01,479.18,10.06,1.22,5.52,2.10,3.04,0.19,2.29,0.56,4.99,1.27,2.04,1.54,0.06,1198.30,0.19,5.24,429.20,7.84,0.47,4.59,1.81,2.48,0.16,1.86,0.46,3.79,0.50,1.79,1.34,0.06,1198.48,0.14,6.91,434.63,11.75,2.67,5.30,2.03,2.25,0.16,1.65,0.44,4.58,0.86,1.70,1.59,0.06,1198.54,0.16,6.41,432.44,8.78,0.88,5.06,1.79,2.25,0.18,1.67,0.39,4.07,0.86,1.81,1.40,0.06,1198.45,0.22,4.48,429.10,7.54,0.00,4.08,2.22,2.27,0.11,1.67,0.48,3.66,0.00,1.54,1.74,0.07,1198.37,0.29,3.42,476.36,34.19,15.33,16.64,1.05,2.17,0.13,1.70,0.34,3.56,0.56,1.81,0.72,1.11,0.87,385.59,
0.08,1198.35,0.25,3.99,478.89,7.43,0.97,5.04,0.14,2.08,0.05,2.00,0.04,3.80,1.42,2.04,0.11,0.06,1198.59,0.19,5.25,434.00,6.49,0.04,4.72,0.76,2.94,0.32,2.44,0.19,3.05,0.54,1.78,0.57,0.06,1198.59,0.14,6.90,429.70,9.99,2.46,5.53,0.11,2.06,0.07,1.92,0.07,3.50,0.63,2.22,0.04,0.06,1198.73,0.16,6.41,428.86,6.70,0.77,4.70,0.21,2.19,0.14,1.95,0.11,2.78,0.88,1.83,0.11,0.06,1198.37,0.22,4.50,432.42,5.62,0.00,4.34,0.00,2.01,0.16,1.86,0.00,1.92,0.00,1.54,0.00,0.07,1198.67,0.30,3.39,474.95,35.05,15.04,16.78,1.75,2.04,0.15,1.85,0.03,3.88,0.02,1.79,1.72,1.07,0.85,381.16,
0.08,1198.36,0.25,4.04,475.65,10.20,2.57,5.50,0.07,2.36,0.37,1.95,0.04,6.33,3.76,2.44,0.04,0.06,1198.42,0.19,5.20,429.76,6.05,0.13,4.79,0.07,2.26,0.32,1.94,0.00,3.24,1.20,1.81,0.07,0.06,1198.16,0.01,155.47,432.70,9.86,2.57,5.45,0.07,2.67,0.38,2.29,0.00,4.46,1.58,2.24,0.07,0.06,1198.44,0.16,6.38,430.63,7.88,2.03,4.49,0.00,2.19,0.20,1.99,0.00,3.96,2.06,2.19,0.00,0.06,1198.30,0.22,4.46,429.85,5.36,0.00,4.08,0.00,1.99,0.16,1.83,0.00,2.01,0.00,1.63,0.00,0.07,1198.41,0.01,85.78,474.74,33.65,15.37,17.16,0.00,1.81,0.11,1.69,0.00,2.42,0.00,1.81,0.00,1.12,0.89,375.67,
0.08,1198.37,0.25,3.98,477.58,8.71,2.36,4.95,0.04,2.16,0.16,2.00,0.00,4.54,2.46,2.04,0.04,0.06,1198.63,0.19,5.23,430.39,6.61,0.04,4.66,0.93,2.40,0.16,1.92,0.32,2.65,0.09,1.79,0.61,0.06,1198.64,0.01,179.13,432.42,8.14,1.50,5.04,0.00,2.53,0.18,2.35,0.00,2.87,0.07,2.24,0.00,0.06,1198.48,0.16,6.35,429.97,7.78,2.03,4.49,0.04,1.89,0.11,1.74,0.04,3.78,2.35,1.81,0.00,0.06,1198.46,0.22,4.45,431.23,5.58,0.00,4.10,0.24,2.56,0.27,2.25,0.03,2.37,0.00,1.53,0.21,0.07,1198.87,0.01,98.68,473.97,34.00,14.12,17.03,1.63,2.45,0.07,1.99,0.39,3.48,0.00,1.63,1.24,1.13,0.90,375.59,
0.08,1198.24,0.25,3.99,477.40,10.32,2.56,4.82,1.52,3.41,0.37,2.55,0.49,5.76,2.69,2.04,1.03,0.06,1198.15,0.19,5.20,430.81,8.19,0.32,4.66,2.19,3.08,0.23,2.04,0.81,3.51,0.18,1.79,1.38,0.06,1198.24,0.14,6.99,433.87,10.61,2.37,5.19,1.40,2.94,0.18,2.22,0.54,3.89,0.25,2.22,0.86,0.06,1198.28,0.16,6.39,429.15,9.59,1.94,4.40,1.93,2.48,0.11,1.70,0.67,5.09,2.35,1.83,1.27,0.06,1198.36,0.22,4.48,431.03,7.34,0.00,4.25,1.92,2.25,0.11,1.72,0.41,3.41,0.00,1.52,1.51,0.07,1198.46,0.29,3.45,471.92,43.64,15.18,16.71,10.47,10.77,0.18,1.72,8.87,3.98,0.00,1.77,1.60,1.10,0.87,395.53,
0.08,1198.29,0.25,3.97,479.20,7.42,1.09,4.99,0.00,2.34,0.23,2.11,0.00,3.37,1.00,2.14,0.00,0.06,1198.38,0.19,5.23,430.01,6.72,0.38,4.59,0.76,2.23,0.07,1.97,0.19,3.03,0.36,1.86,0.57,0.06,1198.51,0.14,6.95,433.33,9.89,2.71,5.45,0.00,2.33,0.20,2.13,0.00,3.51,0.68,2.26,0.00,0.06,1198.77,0.16,6.36,427.75,6.30,0.77,4.46,0.00,2.13,0.16,1.97,0.00,2.87,0.88,2.01,0.00,0.06,1198.68,0.22,4.46,430.34,5.54,0.00,4.23,0.00,1.95,0.11,1.83,0.00,2.13,0.00,1.72,0.00,0.08,1198.64,0.29,3.44,475.72,36.26,15.86,17.04,2.11,2.32,0.16,1.85,0.30,3.98,0.00,1.81,1.81,1.06,0.84,388.79,
21.97,2685.83,2.11,0.47,532.97,11.65,4.82,6.32,0.36,19.94,15.39,4.30,0.25,33.69,23.14,9.97,0.11,0.06,1198.78,0.19,5.16,432.00,14.39,0.30,4.81,8.27,30.43,16.05,6.96,7.42,26.46,16.88,3.34,0.85,0.06,1198.45,0.15,6.85,436.40,10.49,2.46,5.67,0.59,2.58,0.11,2.17,0.29,3.28,0.25,2.20,0.29,0.06,1186.12,0.02,49.23,483.03,38.46,26.57,9.50,0.50,2.35,0.96,0.97,0.43,7.56,4.42,2.92,0.07,0.06,1198.18,0.23,4.44,427.38,18.97,0.00,4.32,13.35,10.14,0.18,0.63,9.32,9.50,2.83,2.54,4.03,0.07,1203.56,0.29,3.41,478.87,35.58,16.66,17.61,0.00,2.40,0.15,2.25,0.00,2.45,0.09,1.83,0.00,5.59,2.03,472.01,
5.49,2576.15,1.14,0.88,563.21,30.52,16.70,12.68,0.57,2.70,-0.07,2.41,0.36,2.88,0.89,1.87,0.22,0.06,1631.48,0.20,4.93,434.66,10.11,0.88,4.94,3.14,4.90,0.11,2.31,2.48,2.25,0.53,1.61,0.66,0.06,1226.48,0.14,7.01,432.24,9.27,1.97,5.40,0.25,2.69,0.07,2.51,0.11,3.02,0.16,2.20,0.14,1.98,1976.93,0.03,29.22,505.30,57.28,27.41,21.94,5.07,5.67,0.02,2.05,3.60,4.34,0.89,1.89,1.47,3.47,2441.56,0.24,4.20,436.30,20.22,0.86,4.51,13.41,14.56,0.27,2.11,12.18,3.20,0.45,1.54,1.23,0.07,1228.29,0.30,3.38,473.84,37.87,14.56,19.61,2.32,2.70,-0.05,2.17,0.57,4.02,0.00,1.70,1.75,10.65,8.17,659.96,
0.05,2804.14,0.18,5.66,477.92,12.49,0.03,5.09,6.17,6.58,-0.09,2.13,4.55,4.05,0.00,2.08,1.62,0.06,1242.42,0.01,97.15,431.74,12.26,1.11,4.72,5.38,5.75,0.14,2.01,3.60,3.72,0.00,1.79,1.78,0.06,1242.48,0.12,8.36,439.76,12.65,3.22,4.89,3.04,3.58,-0.02,2.38,1.22,4.61,0.16,2.27,1.83,0.04,2803.97,0.11,9.30,434.00,11.00,0.00,4.51,5.57,6.19,0.11,1.74,4.34,3.18,0.00,1.83,1.23,0.06,1242.45,0.01,81.98,480.13,35.34,14.29,6.66,13.08,12.99,0.11,1.83,11.04,3.96,0.00,1.56,2.04,0.07,1239.26,0.40,2.49,489.36,42.83,15.91,22.87,2.84,3.08,0.02,1.97,1.09,4.17,0.00,1.81,1.75,2.18,1.57,709.16,
