
AMDuProfPcm Report

System:,Family(0x17) Model(0x1) Stepping(0x2)
Number of sockets:,2
Number of nodes(die):,8
Number of core complexes(CCX):,16
Number of physical cores:,48
Number of logical cores (threads) :,96
SMT Enabled:,True
Number of logical cores sharing L3:,6

CPU Topology:
Socket, Die, CCX, Core(s)
0,0,0, 0 1 2 48 49 50
0,0,1, 3 4 5 51 52 53
0,1,2, 6 7 8 54 55 56
0,1,3, 9 10 11 57 58 59
0,2,4, 12 13 14 60 61 62
0,2,5, 15 16 17 63 64 65
0,3,6, 18 19 20 66 67 68
0,3,7, 21 22 23 69 70 71
1,4,8, 24 25 26 72 73 74
1,4,9, 27 28 29 75 76 77
1,5,10, 30 31 32 78 79 80
1,5,11, 33 34 35 81 82 83
1,6,12, 36 37 38 84 85 86
1,6,13, 39 40 41 87 88 89
1,7,14, 42 43 44 90 91 92
1,7,15, 45 46 47 93 94 95

P0 state frequency (MHz):,2000.000000
Measured DF Frequency (MHz):,883.285156
Sampling interval (ms):,1000
Version:,3.2.228

IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Core-0 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-1 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-2 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-48 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-49 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,Core-50 (ccx-0 die-0 pkg-0),,,,,,,,,,,,,,,,,CCX-0(die-0 pkg-0),,,
Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access (pti),L3 Miss (pti),Ave L3 Miss Latency,
100.00,2999.99,1.80,0.56,467.91,20.54,7.99,9.41,2.83,3.41,0.30,0.92,2.18,7.93,3.50,3.67,0.65,0.40,1333.37,0.04,24.23,500.87,51.58,6.46,27.16,17.36,32.60,1.03,19.28,12.29,16.46,5.31,5.75,5.07,0.85,1332.93,1.42,0.70,533.23,34.02,10.16,10.25,13.29,20.68,7.19,3.75,9.73,15.32,4.11,7.54,3.55,0.38,2988.96,0.00,437.98,450.30,183.04,123.96,33.74,22.94,124.46,70.81,35.47,18.19,51.03,38.88,7.02,4.75,0.09,1329.25,0.10,9.67,552.04,64.99,44.63,17.74,0.75,25.13,5.10,19.56,0.47,45.14,33.82,10.03,0.29,0.06,1327.30,0.05,21.68,466.39,17.30,7.58,7.87,0.58,9.71,4.09,5.45,0.17,8.48,4.59,2.83,0.41,1.52,1.03,707.46,
100.00,2999.11,1.87,0.53,467.93,36.85,7.94,9.93,18.74,15.62,0.35,1.06,14.21,12.61,4.04,3.91,4.54,0.23,1332.52,0.37,2.72,504.64,34.25,4.68,27.27,1.80,6.82,3.01,2.85,0.97,8.39,5.67,1.94,0.83,0.52,1332.96,0.04,24.28,546.54,62.97,40.98,19.75,0.11,1.95,0.02,1.92,0.00,3.48,0.57,2.24,0.11,0.33,2988.77,0.00,698.78,465.32,193.99,145.79,42.70,2.50,3.26,0.36,1.09,1.81,7.15,3.58,2.77,0.69,0.10,1334.27,0.05,19.60,429.99,17.30,0.42,5.36,10.49,23.85,2.50,14.97,6.38,71.74,51.67,14.61,4.11,0.06,1334.26,0.01,78.22,439.63,6.91,1.63,4.50,0.00,1.80,0.11,1.69,0.00,1.55,0.00,1.62,0.00,1.51,0.61,597.33,
11.62,2999.85,0.01,173.36,483.64,95.38,42.05,32.29,19.28,43.70,6.46,22.87,14.37,28.77,16.65,6.66,4.91,0.05,1331.27,0.01,168.07,506.44,46.39,30.68,9.39,5.08,18.30,9.93,5.07,3.30,23.33,15.49,5.90,1.78,0.15,1332.31,1.46,0.69,513.07,24.65,13.46,10.76,0.01,32.69,19.62,13.05,0.01,57.16,46.57,9.50,0.00,88.82,2999.60,1.90,0.53,454.74,11.77,3.35,6.09,2.20,3.19,0.48,0.94,1.78,13.37,7.17,5.60,0.42,0.59,1332.14,0.49,2.04,585.77,115.27,60.47,29.57,23.35,106.37,55.67,32.28,18.42,56.17,41.25,8.54,4.93,0.06,1323.11,0.11,8.95,506.88,40.65,24.08,11.76,2.38,4.20,0.13,2.37,1.70,8.30,4.86,2.98,0.68,1.44,0.80,684.03,
0.51,2999.09,0.11,9.48,505.94,66.65,16.21,29.48,19.87,139.90,87.15,37.41,15.33,39.60,31.11,3.55,4.54,2.33,1333.04,0.00,333.01,449.05,15.45,6.67,5.33,2.26,4.68,0.64,2.28,1.76,6.72,4.97,1.73,0.50,18.93,1333.32,1.36,0.74,502.80,27.45,8.48,11.14,7.58,22.07,1.56,14.74,5.76,43.94,31.76,9.39,1.82,100.00,2999.66,1.96,0.51,463.49,16.21,6.97,6.41,2.66,3.63,0.49,1.11,2.03,17.23,7.70,8.68,0.62,0.21,1332.27,0.30,3.31,597.87,91.26,47.95,30.37,10.63,24.18,0.93,16.71,6.53,50.58,34.41,11.11,4.09,0.06,1330.51,0.04,26.80,448.46,13.48,6.37,5.91,0.32,2.24,0.00,2.14,0.11,2.94,0.47,2.27,0.21,1.28,0.63,635.37,
0.32,2990.01,0.01,68.90,483.03,60.10,40.17,10.81,7.58,36.39,6.75,23.48,6.16,20.26,11.78,6.69,1.42,0.05,1330.53,0.00,415.59,446.98,16.04,8.19,5.43,1.19,5.41,2.01,2.76,0.65,7.56,4.69,1.80,0.54,0.08,1334.45,0.19,5.18,431.82,17.05,0.60,5.93,8.63,25.59,10.08,7.43,8.08,34.15,24.42,8.71,0.55,99.97,3000.00,2.19,0.46,535.03,11.26,3.66,5.12,2.36,3.63,0.43,1.28,1.91,5.86,2.27,3.06,0.44,0.45,1333.00,0.51,1.98,585.52,105.44,60.74,30.08,12.89,20.90,0.89,10.21,9.79,82.07,59.95,17.31,3.09,0.05,1334.38,0.23,4.39,426.76,10.60,0.06,4.09,5.81,8.96,0.72,3.57,4.66,7.68,4.72,1.53,1.15,1.46,0.55,538.29,
0.12,2997.76,0.02,48.56,487.94,84.76,48.03,13.00,20.28,146.06,97.14,33.08,15.84,39.82,33.17,3.50,4.44,0.05,1330.65,0.00,312.75,442.94,11.89,4.81,4.54,1.36,9.82,4.88,4.33,0.61,12.46,9.64,1.68,0.75,0.47,1332.43,0.29,3.42,622.52,94.60,55.63,21.20,14.83,24.32,8.12,4.00,12.20,17.58,6.83,7.96,2.64,100.00,2999.11,2.10,0.48,473.19,17.57,7.55,7.07,2.77,3.40,0.29,0.92,2.19,7.69,3.41,3.60,0.58,0.35,1331.75,0.30,3.39,532.20,74.93,36.56,25.34,11.71,44.73,14.35,20.72,9.65,67.32,47.06,16.80,2.06,0.06,1330.82,0.10,9.54,438.98,9.14,2.17,4.75,1.33,6.70,0.85,5.10,0.75,12.10,7.77,3.12,0.58,1.45,0.61,576.66,
0.25,2943.52,0.00,262.99,498.96,112.55,66.56,35.23,8.20,36.65,21.13,9.36,6.17,24.39,16.65,5.83,2.03,0.06,1327.18,0.01,139.22,500.98,38.77,24.94,9.74,2.05,6.44,1.98,3.05,1.40,7.55,5.33,1.80,0.65,0.24,1332.55,0.02,44.38,550.73,72.10,33.73,26.04,10.84,11.14,0.16,2.04,8.94,5.00,0.28,2.25,1.90,100.00,2999.65,2.02,0.50,470.22,17.95,8.01,7.33,2.41,3.51,0.38,1.21,1.92,7.05,3.24,3.21,0.49,0.20,1332.34,0.35,2.86,554.78,87.92,49.52,26.88,9.71,18.33,1.12,12.04,5.18,83.62,60.85,16.57,4.53,0.06,1326.58,0.01,133.87,486.10,30.03,15.80,10.30,2.11,3.41,0.14,1.71,1.56,2.05,0.00,1.58,0.54,1.49,0.64,630.50,
0.79,1964.45,0.33,3.00,544.07,55.59,17.04,32.25,5.31,34.97,5.77,25.43,3.77,13.47,4.83,6.69,1.54,13.30,2465.50,1.95,0.51,561.60,35.08,7.23,6.83,20.70,19.43,3.27,1.14,15.02,16.79,5.84,5.03,5.68,1.38,1244.29,1.24,0.80,553.28,27.72,13.21,9.19,4.75,7.64,1.66,2.13,3.85,23.75,14.07,8.42,0.91,71.26,2935.51,1.73,0.58,564.90,37.34,15.50,9.70,11.59,10.86,0.39,0.80,9.67,7.27,2.65,2.61,1.91,0.68,1365.89,0.29,3.39,654.34,128.18,84.25,34.23,6.33,101.32,65.20,31.10,5.02,65.77,48.62,15.07,1.31,1.87,2157.71,2.21,0.45,558.66,33.03,4.27,5.09,23.47,17.79,0.32,0.73,16.74,12.97,2.37,3.71,6.73,7.19,3.01,591.02,
10.59,2398.90,2.05,0.49,547.51,27.35,3.64,4.30,19.27,15.87,0.29,0.98,14.60,11.07,2.04,4.22,4.67,11.77,2597.23,2.04,0.49,547.39,10.04,3.87,4.16,1.87,2.37,0.22,0.93,1.22,7.20,2.17,4.23,0.65,73.57,2777.45,1.77,0.57,574.71,21.28,7.60,7.38,5.96,9.30,1.51,2.86,4.93,36.45,20.30,14.45,1.03,3.82,2554.63,0.12,8.10,591.45,58.19,26.55,21.59,8.46,24.94,11.59,5.20,8.15,12.22,4.06,7.72,0.32,4.81,2576.93,0.65,1.53,517.46,64.66,26.34,22.45,14.74,118.09,73.15,33.38,11.56,44.79,36.63,4.91,3.18,2.91,2977.87,0.02,65.57,669.05,147.85,89.60,47.83,4.94,84.24,46.14,34.07,4.02,59.53,40.91,14.97,0.92,5.50,2.50,684.61,
4.14,2694.01,0.50,2.01,549.51,41.32,8.74,30.71,0.94,5.10,1.53,3.02,0.54,11.13,8.26,2.70,0.40,3.62,2884.80,0.00,387.43,449.45,13.44,6.43,5.36,0.68,4.30,1.60,2.35,0.36,7.59,5.56,1.71,0.32,46.31,2904.10,0.02,63.31,495.63,50.93,32.25,10.56,0.07,1.96,0.11,1.81,0.04,3.48,0.79,2.24,0.04,0.60,1430.26,0.91,1.10,608.44,31.75,11.55,11.09,8.61,37.75,16.37,15.35,6.03,60.53,44.54,12.38,2.58,0.24,1493.90,0.28,3.54,571.99,76.46,41.64,25.83,7.33,21.24,1.38,14.89,4.98,47.65,33.44,10.99,2.35,29.70,2995.32,1.66,0.60,608.80,20.48,11.37,8.68,0.00,1.82,0.11,1.71,0.00,2.25,0.88,1.60,0.00,8.59,2.48,718.74,
